=== EXTRAITS ALÉATOIRES BDPM (100 lignes/fichier) ===
Généré le : 2025-11-24 10:02:57.275181


==================================================
FICHIER : CIS_COMPO_bdpm.txt
Lignes totales : 32563 | Extraites : 200
==================================================

61330596	comprimé	49212	CASCARA (ÉCORCE DE) (EXTRAIT SEC DE)	100,00 mg soit 6,25 mg quantité exprimée en cascaroside A	un comprimé	SA	2
66466080	pommade	47875	FRAXINUS AMERICANA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH (pommade à 4 %)	un comprimé	SA	24
64297436	gélule	77086	TACROLIMUS	1 mg	une gélule	FT	1
65290793	dispersion	69988	BRÉTOVAMÉRAN	3 microgrammes	une dose après dilution	SA	1
62333104	comprimé	38607	FUMARATE DE QUÉTIAPINE			SA	1
67886607	pommade	04802	URÉE	40 g	100 g de pommade	SA	3
66681599	solution	23156	LÉVOBUPIVACAÏNE	1,25 mg	1 mL de solution	FT	1
69877717	comprimé	00191	CHLORHYDRATE D'ACÉBUTOLOL			SA	1
61856322	poudre	41788	PROPIONATE DE FLUTICASONE	100 microgrammes	une dose	SA	1
65915088	solution buvable en gouttes	45700	SPIRAEA ULMARIA POUR PRÉPARATION HOMÉOPATHIQUE	2CH à 30CH et 4DH à 60DH	un comprimé	SA	19
67259309	comprimé	08237	GESTODÈNE	0,075 mg	un comprimé	SA	1
69063120	émulsion	00563	LYSINE	4,48 g	1000 ml d'émulsion reconstituée	FT	9
62664645	comprimé	04191	CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	100 ml de solution	SA	17
67500468	pommade	02811	PHÉNAZONE	0,75 g	100 g de pommade	SA	1
65315798	comprimé	00382	LÉVOTHYROXINE SODIQUE	200 microgrammes	un comprimé	SA	1
66051593	comprimé	07436	FUMARATE DE BISOPROLOL	10 mg	un comprimé	SA	1
65057910	granules	45700	SPIRAEA ULMARIA POUR PRÉPARATION HOMÉOPATHIQUE	0,02 ml (4 DH)	un tube de granules de 4 g	SA	3
65834743	comprimé	98539	PIX LIQUIDA POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 7DH à 60DH	un comprimé	SA	18
68931126	comprimé	68227	MÉSILATE D'IMATINIB	478,00 mg	un comprimé	SA	1
65418143	émulsion	01044	ACIDE GLUTAMIQUE	3,37 g	1000 ml d'émulsion après mélange	SA	12
63852237	solution	04862	ADRÉNALINE (CHLORHYDRATE D')	0,0102 mg	une cartouche	SA	2
60970141	comprimé	00981	ACIDE URSODÉSOXYCHOLIQUE	250 mg	un comprimé	SA	1
69527439	comprimé	06695	CALCAREA SULFURICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	100 g de suspension nasale	SA	18
68826207	comprimé	45293	DESMOPRESSINE	60 microgrammes	un comprimé	FT	1
62615751	gélule	27570	ATAZANAVIR	200 mg	une gélule	FT	1
67524227	granules	41022	SULFURICUM ACIDUM POUR PRÉPARATION HOMÉOPATHIQUE	2CH à 30CH et 4DH à 60DH	une gomme à mâcher	SA	17
65501475	comprimé	04442	METFORMINE BASE	390 mg	un comprimé	FT	1
66332010	comprimé	07482	KALIUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	18
69602201	solution	04862	ADRÉNALINE (CHLORHYDRATE D')	0,0216 mg	une cartouche de 1,8 ml	SA	2
67400941	pommade	16278	COLLINSONIA CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	24
64355843	suspension	77402	POLYOSIDE PNEUMOCOCCIQUE SÉROTYPE 7F CONJUGUÉ À LA PROTÉINE VECTRICE CRM197	2,0 microgrammes de polyoside pneumococcique	une dose de 0,5 mL	SA	7
64720167	suspension	03559	SULFATE DE SALBUTAMOL	120,50  microgrammes	une dose	SA	1
67347175	gélule	32353	FUMETERRE (PARTIE AÉRIENNE FLEURIE DE) (POUDRE DE)	220 mg	une gélule	SA	1
60754528	comprimé	04090	CARBIDOPA ANHYDRE	50 mg	un comprimé	FT	2
67981927	crème	02067	HYDROCORTISONE	0,500 g	100 g	FT	1
60832521	solution	06018	CÉTRIMIDE	0,15 g	100 ml de solution pour usage dentaire	SA	2
63399491	comprimé	86571	CHLORHYDRATE DE TRAMADOL	100 mg	un comprimé	SA	1
69070613	comprimé	66240	RILMÉNIDINE	1 mg	un comprimé	FT	1
66002781	comprimé	00829	SUCCINATE DE LOXAPINE	68 mg	un comprimé	SA	1
66840005	solution	22129	CHLORHYDRATE DE LÉVOBUPIVACAÏNE			SA	1
66269058	poudre orale	57612	ARGENTITE POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 6DH à 60DH	100 mL	SA	23
69119195	gélule	00001	CHLORHYDRATE DE LOPÉRAMIDE	2,00 mg	une gélule	SA	1
60349519	comprimé	07055	DOXYCYCLINE MONOHYDRATÉE			SA	1
60058008	comprimé	15734	VALSARTAN	160 mg	un comprimé	SA	2
62201138	émulsion	00529	GLUCOSE	140 g	1000 ml d'émulsion reconstituée	FT	22
66282739	liquide	77978	SEVORANE	100 mL	100 mL de liquide pour inhalation par vapeur	SA	1
67334039	comprimé	80180	NÉVIRAPINE	200 mg	un comprimé	SA	1
68594221	implant	88822	ACÉTATE DE LEUPRORÉLINE			SA	1
60770621	solution	02113	PHYTOMÉNADIONE	10 mg	une ampoule de 1 ml	SA	1
67005951	comprimé	00762	ATÉNOLOL	50 mg	un comprimé	SA	1
67690537	solution	07589	MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2,31 mL (3 DH)	30 mL de solution	SA	5
65894676	solution buvable en ampoules	21849	CHIMAPHILA UMBELLATA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 ml de solution à diluer	SA	26
69377288	comprimé	37011	LAMOTRIGINE	50,0 mg	un comprimé	SA	1
64911770	comprimé	68227	MÉSILATE D'IMATINIB			SA	1
68202115	solution	01339	ERGOCALCIFÉROL	33 333 UI	un flacon de 10 ml	SA	2
69153176	granules	88545	BARYTA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	une dose mesurée	SA	26
64247839	comprimé	52784	PEAU POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	une gélule	SA	18
65568538	poudre	46167	DAPTOMYCINE	350 mg	un flacon	SA	1
62549600	comprimé	72550	SOLIFÉNACINE	3,8 mg	un comprimé	FT	1
69164991	gélule	51371	FUMARATE DE DIMÉTHYLE	120 mg	une gélule	SA	1
67305062	granules	07911	KALIUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	0,010 mL (15 CH)	un tube de 4 g de granules	SA	3
66188581	gélule	99008	ITRACONAZOLE	100 mg	une gélule	SA	1
64487229	comprimé	71395	TÉTRABÉNAZINE	25 mg	un comprimé	SA	1
62322104	compartiment 1	00610	L-PHÉNYLALANINE	3,92 g	un compartiment n°1 de 1000 ml	SA	5
64461946	poudre	97773	TRASTUZUMAB 	150 mg	un flacon	SA	6
63432557	comprimé	24321	CHLORHYDRATE DE METFORMINE	850 mg	un comprimé	SA	1
60680832	Lyophilisat	26221	OXIDRONATE DE SODIUM	3 mg	un flacon	SA	1
64397575	solution	03778	DIGLUCONATE DE CHLORHEXIDINE	0,100 g	100 ml de solution pour bain de bouche	FT	1
66909565	pommade	03683	JABORANDI POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %)	13,3 g	SA	25
68278216	comprimé	39727	AMLODIPINE	5 mg	un comprimé	FT	1

==================================================
FICHIER : CIS_bdpm.txt
Lignes totales : 15821 | Extraites : 200
==================================================

69836364	STAPHYSAGRIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	04/11/2015			 BOIRON	Non
67572325	MYFENAX 250 mg, gélule	gélule	orale	Autorisation active	Procédure centralisée	Commercialisée	21/02/2008		EU/1/07/438	 TEVA (PAYS-BAS)	Non
66279344	DICLOFENAC DELBERT 75 mg/3 mL, solution injectable	solution injectable	intramusculaire	Autorisation active	Procédure nationale	Non commercialisée	13/01/2021	Warning disponibilité		 LABORATOIRES DELBERT	Non
63427414	ALGINATE DE SODIUM/BICARBONATE DE SODIUM BGR 500 mg/267 mg pour 10 ml, suspension buvable en sachet	suspension buvable	orale	Autorisation active	Procédure nationale	Commercialisée	18/02/2016			 BIOGARAN	Non
65591412	PROPOFOL KABI 20 mg/mL, émulsion injectable	émulsion injectable ou pour perfusion	intraveineuse	Autorisation active	Procédure nationale	Commercialisée	11/07/2019			 FRESENIUS KABI FRANCE	Non
63226984	SOLUPRED 20 mg, comprimé orodispersible	comprimé orodispersible	orale	Autorisation active	Procédure nationale	Commercialisée	16/04/1999			 CHEPLAPHARM ARZNEIMITTEL (ALLEMAGNE)	Non
64115976	BELANETTE 0,02 mg/3 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure de reconnaissance mutuelle	Non commercialisée	19/09/2006	Warning disponibilité		 BAYER HEALTHCARE	Non
63778993	SULFARLEM 12,5 mg, comprimé enrobé	comprimé enrobé	orale	Autorisation active	Procédure nationale	Commercialisée	01/10/1990			 EXOD	Non
60664365	GENOTONORM MINIQUICK 1,2 mg, poudre et solvant pour solution injectable	poudre et  solvant pour solution injectable	sous-cutanée	Autorisation active	Procédure de reconnaissance mutuelle	Commercialisée	09/07/1997			 PFIZER HOLDING FRANCE	Non
66721022	METOPROLOL ARROW 100 mg, comprimé sécable	comprimé sécable	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	09/06/2011	Warning disponibilité		 ARROW GENERIQUES	Non
64172450	THERASOLV 500 000 UI, poudre pour solution injectable/pour perfusion	poudre pour solution injectable ou pour perfusion	intraartérielle;intraveineuse;voie extracorporelle autre	Autorisation active	Procédure de reconnaissance mutuelle	Commercialisée	03/07/2019			 THERADIAL	Non
66892062	OMNIPAQUE 240 mg d'I/mL, solution injectable	solution injectable	intrathécale;intraveineuse	Autorisation active	Procédure nationale	Commercialisée	16/04/1984			 GE HEALTHCARE	Non
65394265	NUX MOSCHATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	08/08/2013			 LEHNING	Non
69915160	AMOXICILLINE PANPHARMA 1 g/5 ml, poudre et solution pour solution injectable (IM)	poudre et  solution pour solution injectable	intramusculaire	Autorisation active	Procédure nationale	Commercialisée	06/12/1996			 PANPHARMA	Non
68474955	ACICLOVIR TEVA SANTE 5 %, crème	crème	cutanée	Autorisation active	Procédure nationale	Commercialisée	15/09/2000			 RATIOPHARM (ALLEMAGNE)	Non
66255471	CIPROFLOXACINE PANPHARMA 400 mg/200 mL, solution pour perfusion	solution pour perfusion	intraveineuse	Autorisation active	Procédure nationale	Commercialisée	15/12/2006			 PANPHARMA	Non
62526007	TRIMEBUTINE ZYDUS 200 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	10/06/2010			 ZYDUS FRANCE	Non
62722988	AZILECT 1 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Commercialisée	21/02/2005		EU/1/04/304	 TEVA (PAYS-BAS)	Non
60043038	ACTYNOX 50 %/50 % v/v, gaz médicinal comprimé	gaz	inhalée	Autorisation active	Procédure de reconnaissance mutuelle	Commercialisée	17/05/2017			 AIR PRODUCTS	Non
62322104	CLINIMIX N12 G20, solution pour perfusion en poche bicompartiment	solution et  solution pour perfusion	intraveineuse	Autorisation archivée	Procédure nationale	Non commercialisée	20/05/1996	Warning disponibilité		 BAXTER	Non
60372215	ANAUSIN METOCLOPRAMIDE 15 mg, comprimé à libération prolongée	comprimé à libération prolongée	orale	Autorisation archivée	Procédure nationale	Non commercialisée	30/07/1987	Warning disponibilité		 MEDA PHARMA	Non
